UKBPPP ProteinID,Olink ID,Assay Target,Protein panel,Gene symbol,UniProt,Gene CHROM,Gene start,Gene end,Dilution factor,% of samples below LOD,Coefficient of variation (median %),% of data failing QC,ICC (interclass correlation) of sample age 
ACRBP:Q8NEB7:OID31385:v1,OID31385,ACRBP,Oncology_II,ACRBP,Q8NEB7,12,6638075,6647433,1:01,5.75%,7.73,0.00%,0.038899
ACRV1:P26436:OID30513:v1,OID30513,ACRV1,Inflammation_II,ACRV1,P26436,11,125671522,125680874,1:01,43.08%,6.6,0.00%,0.006366
ACSL1:P33121:OID30080:v1,OID30080,ACSL1,Cardiometabolic_II,ACSL1,P33121,4,184755595,184826818,1:01,88.15%,5.57,0.00%,0.003069
ACTA2:P62736:OID20079:v1,OID20079,ACTA2,Cardiometabolic,ACTA2,P62736,10,88935074,88991339,1:01,3.77%,7.64,0.00%,0.003445
ACTN2:P35609:OID30192:v1,OID30192,ACTN2,Cardiometabolic_II,ACTN2,P35609,1,236664141,236764631,1:01,16.21%,8.58,0.00%,0.007182
ACTN4:O43707:OID20435:v1,OID20435,ACTN4,Inflammation,ACTN4,O43707,19,38647649,38731589,1:01,86.54%,6.85,0.00%,0.003254
ACVRL1:P37023:OID20999:v1,OID20999,ACVRL1,Neurology,ACVRL1,P37023,12,51906908,51923361,1:01,0.02%,5.84,0.15%,0.003532
ACY1:Q03154:OID20137:v1,OID20137,ACY1,Cardiometabolic,ACY1,Q03154,3,51983340,51989197,1:10,0.04%,5.42,0.00%,0.006951
ACY3:Q96HD9:OID30086:v1,OID30086,ACY3,Cardiometabolic_II,ACY3,Q96HD9,11,67642555,67650730,1:01,0.07%,6.69,0.00%,0.003503
ACYP1:P07311:OID30642:v1,OID30642,ACYP1,Inflammation_II,ACYP1,P07311,14,75053237,75069483,1:10,0.07%,5.01,0.30%,0.088121
ADA:P00813:OID20645:v1,OID20645,ADA,Inflammation,ADA,P00813,20,44619522,44652233,1:01,0.02%,4.2,0.00%,0.028647
ADA2:Q9NZK5:OID20394:v1,OID20394,ADA2,Cardiometabolic,ADA2,Q9NZK5,22,17178790,17258235,0.736111111,0.03%,5.11,1.05%,0.003859
ADAM12:O43184:OID30491:v1,OID30491,ADAM12,Inflammation_II,ADAM12,O43184,10,126012381,126388477,1:01,10.47%,8.89,0.00%,0.002915
ADAM15:Q13444:OID20109:v1,OID20109,ADAM15,Cardiometabolic,ADAM15,Q13444,1,155050566,155062775,1:01,0.02%,5.92,0.00%,0.004897
ADAM22:Q9P0K1:OID21001:v1,OID21001,ADAM22,Neurology,ADAM22,Q9P0K1,7,87934143,88202889,1:01,0.03%,5.54,0.00%,0.005782
ADAM23:O75077:OID20651:v1,OID20651,ADAM23,Inflammation,ADAM23,O75077,2,206443532,206621127,1:01,0.01%,3.92,0.00%,0.00391
ADAM8:P78325:OID21039:v1,OID21039,ADAM8,Neurology,ADAM8,P78325,10,133262420,133276868,1:10,0.03%,3.96,0.15%,0.005204
ADAM9:Q13443:OID31488:v1,OID31488,ADAM9,Oncology_II,ADAM9,Q13443,8,38996754,39105445,1:01,0.09%,5.64,0.00%,0.005803
ADAMTS1:Q9UHI8:OID30528:v1,OID30528,ADAMTS1,Inflammation_II,ADAMTS1,Q9UHI8,21,26835755,26845409,1:01,65.81%,7.6,0.00%,0.003157
ADAMTS13:Q76LX8:OID20249:v1,OID20249,ADAMTS13,Cardiometabolic,ADAMTS13,Q76LX8,9,133414358,133459402,0.111111111,0.04%,3.83,0.00%,0.008437
ADAMTS15:Q8TE58:OID21275:v1,OID21275,ADAMTS15,Oncology,ADAMTS15,Q8TE58,11,130448645,130476645,1:01,0.02%,6.54,0.00%,0.015643
ADAMTS16:Q8TE57:OID20089:v1,OID20089,ADAMTS16,Cardiometabolic,ADAMTS16,Q8TE57,5,5140330,5320304,1:01,0.07%,7.13,0.00%,0.004184
ADAMTS4:O75173:OID30471:v1,OID30471,ADAMTS4,Inflammation_II,ADAMTS4,O75173,1,161184302,161199054,1:01,41.79%,9.83,0.00%,0.003874
ADAMTS8:Q9UP79:OID21502:v1,OID21502,ADAMTS8,Oncology,ADAMTS8,Q9UP79,11,130404923,130428609,1:10,0.02%,4.77,0.00%,0.00352
ADAMTSL2:Q86TH1:OID30370:v1,OID30370,ADAMTSL2,Cardiometabolic_II,ADAMTSL2,Q86TH1,9,133532164,133575519,0.111111111,0.10%,5.93,0.00%,0.005343
ADAMTSL4:Q6UY14:OID30275:v1,OID30275,ADAMTSL4,Cardiometabolic_II,ADAMTSL4,Q6UY14,1,150549369,150560937,1:01,0.03%,6.3,0.00%,0.005214
ADAMTSL5:Q6ZMM2:OID30355:v1,OID30355,ADAMTSL5,Cardiometabolic_II,ADAMTSL5,Q6ZMM2,19,1505022,1513604,1:10,0.17%,11.67,0.00%,0.007691
ADCYAP1R1:P41586:OID21188:v1,OID21188,ADCYAP1R1,Oncology,ADCYAP1R1,P41586,7,31052308,31111479,1:01,24.99%,7.76,0.00%,0.003033
ADD1:P35611:OID30655:v1,OID30655,ADD1,Inflammation_II,ADD1,P35611,4,2843844,2930076,1:10,0.05%,12.49,0.00%,0.113999
ADGRB3:O60242:OID20974:v1,OID20974,ADGRB3,Neurology,ADGRB3,O60242,6,68635282,69390571,1:01,0.02%,4.63,0.15%,0.002791
ADGRD1:Q6QNK2:OID30588:v1,OID30588,ADGRD1,Inflammation_II,ADGRD1,Q6QNK2,12,130953907,131141469,1:10,0.06%,5.04,0.00%,0.004435
ADGRE1:Q14246:OID31483:v1,OID31483,ADGRE1,Oncology_II,ADGRE1,Q14246,19,6887566,6940459,1:01,0.09%,5.41,0.00%,0.002766
ADGRE2:Q9UHX3:OID20755:v1,OID20755,ADGRE2,Inflammation,ADGRE2,Q9UHX3,19,14732392,14778560,1:10,0.02%,4.96,0.00%,0.00682
ADGRE5:P48960:OID20260:v1,OID20260,ADGRE5,Cardiometabolic,ADGRE5,P48960,19,14380501,14408725,0.111111111,0.03%,4.49,0.45%,0.004742
ADGRF5:Q8IZF2:OID30349:v1,OID30349,ADGRF5,Cardiometabolic_II,ADGRF5,Q8IZF2,6,46852522,46954943,1:10,0.07%,4.78,0.00%,0.006351
ADGRG1:Q9Y653:OID21294:v1,OID21294,ADGRG1,Oncology,ADGRG1,Q9Y653,16,57610652,57665580,1:01,0.04%,5.44,0.00%,0.003477
ADGRG2:Q8IZP9:OID20189:v1,OID20189,ADGRG2,Cardiometabolic,ADGRG2,Q8IZP9,X,18989307,19122637,1:10,0.04%,6.24,0.00%,0.006545
ADGRV1:Q8WXG9:OID30877:v1,OID30877,ADGRV1,Neurology_II,ADGRV1,Q8WXG9,5,90529344,91164437,1:01,75.38%,10.3,0.00%,0.00323
ADH1B:P00325:OID30612:v1,OID30612,ADH1B,Inflammation_II,ADH1B,P00325,4,99304971,99352760,1:10,0.34%,6.81,0.00%,0.011676
ADH4:P08319:OID20117:v1,OID20117,ADH4,Cardiometabolic,ADH4,P08319,4,99123657,99157792,1:01,0.06%,6,0.00%,0.005404
ADIPOQ:Q15848:OID30748:v1,OID30748,ADIPOQ,Inflammation_II,ADIPOQ,Q15848,3,186842704,186858463,1:100000,0.51%,5.64,0.00%,0.004309
ADM:P35318:OID21467:v1,OID21467,ADM,Oncology,ADM,P35318,11,10305073,10307397,1:01,0.05%,3.01,0.00%,0.007796
ADRA2A:P08913:OID30067:v1,OID30067,ADRA2A,Cardiometabolic_II,ADRA2A,P08913,10,111077029,111080907,1:01,74.68%,7.24,0.00%,0.002371
AFAP1:Q8N556:OID30569:v1,OID30569,AFAP1,Inflammation_II,AFAP1,Q8N556,4,7758714,7939926,1:10,78.56%,9.36,0.00%,0.010919
AFM:P43652:OID30741:v1,OID30741,AFM,Inflammation_II,AFM,P43652,4,73481745,73504001,1:100000,0.18%,4.49,0.00%,0.003436
AFP:P02771:OID20978:v1,OID20978,AFP,Neurology,AFP,P02771,4,73431138,73456174,1:01,0.03%,4.84,0.30%,0.003286
AGBL2:Q5U5Z8:OID30793:v1,OID30793,AGBL2,Neurology_II,AGBL2,Q5U5Z8,11,47659591,47715389,1:01,74.12%,14.97,0.00%,0.001168
AGER:Q15109:OID20756:v1,OID20756,AGER,Inflammation,AGER,Q15109,6,32180968,32184322,1:10,0.02%,4.47,0.60%,0.005939
AGR2:O95994:OID20896:v1,OID20896,AGR2,Neurology,AGR2,O95994,7,16791811,16833433,1:01,26.97%,15.56,0.75%,0.003083
AGR3:Q8TD06:OID21243:v1,OID21243,AGR3,Oncology,AGR3,Q8TD06,7,16859412,16881987,1:01,46.87%,9.61,0.15%,0.004023
AGRN:O00468:OID20786:v1,OID20786,AGRN,Inflammation,AGRN,O00468,1,1020120,1056118,1:10,0.02%,5.59,0.00%,0.006704
AGRP:O00253:OID20658:v1,OID20658,AGRP,Inflammation,AGRP,O00253,16,67482571,67483547,1:01,0.02%,8.22,0.00%,0.044247
AGT:P01019:OID30709:v1,OID30709,AGT,Inflammation_II,AGT,P01019,1,230690776,230745576,0.736111111,0.07%,5.54,0.00%,0.015836
AGXT:P21549:OID20139:v1,OID20139,AGXT,Cardiometabolic,AGXT,P21549,2,240868824,240880502,1:10,0.18%,6.07,0.00%,0.0023
AHCY:P23526:OID20199:v1,OID20199,AHCY,Cardiometabolic,AHCY,P23526,20,34280268,34311802,1:10,0.37%,8.63,0.00%,0.06819
AHNAK:Q09666:OID30260:v1,OID30260,AHNAK,Cardiometabolic_II,AHNAK,Q09666,11,62433542,62556235,1:01,0.07%,5.16,0.00%,0.029987
AHNAK2:Q8IVF2:OID30244:v1,OID30244,AHNAK2,Cardiometabolic_II,AHNAK2,Q8IVF2,14,104937244,104978374,1:01,0.80%,6.23,0.00%,0.006066
AHSA1:O95433:OID31379:v1,OID31379,AHSA1,Oncology_II,AHSA1,O95433,14,77457870,77469472,1:01,34.61%,6.32,0.00%,0.020091
AHSG:P02765:OID30706:v1,OID30706,AHSG,Inflammation_II,AHSG,P02765,3,186613060,186621318,0.736111111,0.07%,6.42,0.00%,0.004184
AHSP:Q9NZD4:OID21078:v1,OID21078,AHSP,Neurology,AHSP,Q9NZD4,16,31527900,31528803,0.111111111,0.04%,4.14,0.15%,0.037443
AIDA:Q96BJ3:OID30956:v1,OID30956,AIDA,Neurology_II,AIDA,Q96BJ3,1,222668013,222713210,1:01,82.05%,8.85,0.00%,0.003218
AIF1:P55008:OID21234:v1,OID21234,AIF1,Oncology,AIF1,P55008,6,31615217,31617021,1:01,14.54%,13.7,0.00%,0.039515
AIF1L:Q9BQI0:OID30204:v1,OID30204,AIF1L,Cardiometabolic_II,AIF1L,Q9BQI0,9,131096476,131123152,1:01,4.92%,6.01,0.00%,0.00338
AIFM1:O95831:OID21287:v1,OID21287,AIFM1,Oncology,AIFM1,O95831,X,130124666,130165879,1:01,0.99%,17.08,0.15%,0.04479
AK1:P00568:OID20122:v1,OID20122,AK1,Cardiometabolic,AK1,P00568,9,127866486,127877675,1:10,0.05%,9.25,0.00%,0.06504
AK2:P54819:OID31142:v1,OID31142,AK2,Neurology_II,AK2,P54819,1,33007986,33080996,1:01,0.17%,9.3,0.00%,0.060157
AKAP12:Q02952:OID30571:v1,OID30571,AKAP12,Inflammation_II,AKAP12,Q02952,6,151239967,151358559,1:10,97.10%,5.1,0.00%,0.00805
AKR1B1:P15121:OID21244:v1,OID21244,AKR1B1,Oncology,AKR1B1,P15121,7,134442356,134459284,1:01,0.12%,9.04,0.00%,0.048414
AKR1B10:O60218:OID30955:v1,OID30955,AKR1B10,Neurology_II,AKR1B10,O60218,7,134527567,134541412,1:01,91.08%,7.19,0.00%,0.001992
AKR1C4:P17516:OID20062:v1,OID20062,AKR1C4,Cardiometabolic,AKR1C4,P17516,10,5195462,5218949,1:01,42.18%,9.31,0.00%,0.002439
AKR7L:Q8NHP1:OID30488:v1,OID30488,AKR7L,Inflammation_II,AKR7L,Q8NHP1,1,19265982,19274194,1:01,31.94%,9.07,0.00%,0.003756
AKT1S1:Q96B36:OID20895:v1,OID20895,AKT1S1,Neurology,AKT1S1,Q96B36,19,49869033,49878459,1:01,0.04%,9.2,0.00%,0.096674
AKT2:P31751:OID31052:v1,OID31052,AKT2,Neurology_II,AKT2,P31751,19,40230317,40285536,1:01,0.03%,8.51,0.00%,0.075443
AKT3:Q9Y243:OID21197:v1,OID21197,AKT3,Oncology,AKT3,Q9Y243,1,243488233,243851079,1:01,14.04%,10.33,0.45%,0.06994
ALCAM:Q13740:OID20273:v1,OID20273,ALCAM,Cardiometabolic,ALCAM,Q13740,3,105366909,105576900,0.111111111,0.04%,4.17,0.00%,0.005803
ALDH1A1:P00352:OID21128:v1,OID21128,ALDH1A1,Neurology,ALDH1A1,P00352,9,72900671,73080442,0.111111111,0.04%,5.1,0.00%,0.036437
ALDH2:P05091:OID31380:v1,OID31380,ALDH2,Oncology_II,ALDH2,P05091,12,111766887,111817532,1:01,59.80%,5.82,0.00%,0.002119
ALDH3A1:P30838:OID20512:v1,OID20512,ALDH3A1,Inflammation,ALDH3A1,P30838,17,19737984,19748943,1:01,0.40%,7.37,0.15%,0.004198
ALDH5A1:P51649:OID31047:v1,OID31047,ALDH5A1,Neurology_II,ALDH5A1,P51649,6,24494867,24537207,1:01,58.70%,7.2,0.00%,0.012145
ALMS1:Q8TCU4:OID31275:v1,OID31275,ALMS1,Oncology_II,ALMS1,Q8TCU4,2,73385758,73625166,1:01,93.69%,7.69,0.00%,0.0058
ALPI:P09923:OID30497:v1,OID30497,ALPI,Inflammation_II,ALPI,P09923,2,232456125,232460753,1:01,34.84%,7.71,0.00%,0.005461
ALPP:P05187:OID21383:v1,OID21383,ALPP,Oncology,ALPP,P05187,2,232378724,232382889,1:01,0.04%,5.13,0.00%,0.003634
AMBN:Q9NP70:OID20437:v1,OID20437,AMBN,Inflammation,AMBN,Q9NP70,4,70592256,70607288,1:01,2.19%,8.98,0.00%,0.004145
AMBP:P02760:OID21413:v1,OID21413,AMBP,Oncology,AMBP,P02760,9,114060127,114078328,1:01,0.03%,3.56,0.15%,0.003841
AMDHD2:Q9Y303:OID30366:v1,OID30366,AMDHD2,Cardiometabolic_II,AMDHD2,Q9Y303,16,2520357,2531422,0.111111111,83.57%,5.12,0.00%,0.009753
AMFR:Q9UKV5:OID20806:v1,OID20806,AMFR,Neurology,AMFR,Q9UKV5,16,56361452,56425545,1:01,29.62%,11.74,0.00%,0.014992
AMIGO1:Q86WK6:OID30881:v1,OID30881,AMIGO1,Neurology_II,AMIGO1,Q86WK6,1,109504178,109509738,1:01,93.11%,7.32,0.00%,0.00299
AMIGO2:Q86SJ2:OID21370:v1,OID21370,AMIGO2,Oncology,AMIGO2,Q86SJ2,12,47075707,47079959,1:01,0.06%,5.26,0.00%,0.005205
AMN:Q9BXJ7:OID20492:v1,OID20492,AMN,Inflammation,AMN,Q9BXJ7,14,102922663,102933596,1:01,26.25%,10.14,0.00%,0.003751
AMOT:Q4VCS5:OID30572:v1,OID30572,AMOT,Inflammation_II,AMOT,Q4VCS5,X,112774503,112840831,1:10,3.96%,6.79,0.00%,0.005615
AMOTL2:Q9Y2J4:OID31351:v1,OID31351,AMOTL2,Oncology_II,AMOTL2,Q9Y2J4,3,134355347,134375479,1:01,8.41%,6.14,0.30%,0.023245
AMPD3:Q01432:OID31139:v1,OID31139,AMPD3,Neurology_II,AMPD3,Q01432,11,10308313,10507579,1:01,0.04%,4.42,0.00%,0.069727
AMY1A_AMY1B_AMY1C:P0DUB6_P0DTE7_P0DTE8:OID30707:v1,OID30707,AMY1A_AMY1B_AMY1C,Inflammation_II,AMY1A;AMY1B;AMY1C,P0DUB6;P0DTE7;P0DTE8,1;1;1,103655760;103687415;103745323,103664554;103696454;103758726,0.736111111,0.89%,4.01,5.40%,0.003877
AMY2A:P04746:OID20333:v1,OID20333,AMY2A,Cardiometabolic,AMY2A,P04746,1,103617427,103625780,0.111111111,1.11%,4.3,4.94%,0.00194
AMY2B:P19961:OID20340:v1,OID20340,AMY2B,Cardiometabolic,AMY2B,P19961,1,103553815,103579534,0.111111111,1.98%,4.75,7.64%,0.00204
ANG:P03950:OID20403:v1,OID20403,ANG,Cardiometabolic,ANG,P03950,14,20684177,20698971,0.736111111,0.03%,6.58,0.75%,0.005359
ANGPT1:Q15389:OID20740:v1,OID20740,ANGPT1,Inflammation,ANGPT1,Q15389,8,107249482,107498055,1:10,0.02%,3.74,0.90%,0.013913
ANGPT2:O15123:OID21463:v1,OID21463,ANGPT2,Oncology,ANGPT2,O15123,8,6499632,6563409,1:01,0.02%,3.66,0.00%,0.001503
ANGPTL1:O95841:OID20211:v1,OID20211,ANGPTL1,Cardiometabolic,ANGPTL1,O95841,1,178849535,178871077,1:10,0.06%,5.72,1.50%,0.01911
ANGPTL2:Q9UKU9:OID20726:v1,OID20726,ANGPTL2,Inflammation,ANGPTL2,Q9UKU9,9,127087348,127122635,1:10,0.02%,7.22,0.30%,0.008578
ANGPTL3:Q9Y5C1:OID20407:v1,OID20407,ANGPTL3,Cardiometabolic,ANGPTL3,Q9Y5C1,1,62597520,62606313,0.736111111,0.04%,5.35,0.60%,0.007322
ANGPTL4:Q9BY76:OID20703:v1,OID20703,ANGPTL4,Inflammation,ANGPTL4,Q9BY76,19,8363289,8374370,1:10,0.03%,5.13,0.15%,0.00734
ANGPTL7:O43827:OID21412:v1,OID21412,ANGPTL7,Oncology,ANGPTL7,O43827,1,11189355,11195981,1:01,0.03%,3.06,0.00%,0.002505
ANK2:Q01484:OID30161:v1,OID30161,ANK2,Cardiometabolic_II,ANK2,Q01484,4,112818032,113384221,1:01,66.23%,6.16,0.00%,0.001283
ANKMY2:Q8IV38:OID30518:v1,OID30518,ANKMY2,Inflammation_II,ANKMY2,Q8IV38,7,16599779,16645817,1:01,3.46%,9.46,0.00%,0.082874
ANKRA2:Q9H9E1:OID31173:v1,OID31173,ANKRA2,Oncology_II,ANKRA2,Q9H9E1,5,73552190,73565667,1:01,96.00%,7.54,0.00%,0.003854
ANKRD54:Q6NXT1:OID21162:v1,OID21162,ANKRD54,Oncology,ANKRD54,Q6NXT1,22,37830855,37849327,1:01,0.45%,7.73,0.00%,0.049138
ANP32C:O43423:OID30203:v1,OID30203,ANP32C,Cardiometabolic_II,ANP32C,O43423,4,164197007,16419771,1:01,90.17%,5.99,0.00%,0.002716
ANPEP:P15144:OID20350:v1,OID20350,ANPEP,Cardiometabolic,ANPEP,P15144,15,89784895,89815401,0.736111111,0.04%,6.09,0.30%,0.005524
ANXA1:P04083:OID30617:v1,OID30617,ANXA1,Inflammation_II,ANXA1,P04083,9,73151865,73170393,1:10,88.53%,3.75,0.45%,0.032843
ANXA10:Q9UJ72:OID20886:v1,OID20886,ANXA10,Neurology,ANXA10,Q9UJ72,4,168092537,168187736,1:01,10.82%,10.7,0.00%,0.001197
ANXA11:P50995:OID20583:v1,OID20583,ANXA11,Inflammation,ANXA11,P50995,10,80150889,80205572,1:01,0.09%,7.34,0.15%,0.06451
ANXA2:P07355:OID30263:v1,OID30263,ANXA2,Cardiometabolic_II,ANXA2,P07355,15,60347134,60402883,1:01,0.53%,6.49,1.35%,0.041521
ANXA3:P12429:OID21036:v1,OID21036,ANXA3,Neurology,ANXA3,P12429,4,78551747,78610451,1:10,0.04%,5.09,0.15%,0.081599
ANXA4:P09525:OID20123:v1,OID20123,ANXA4,Cardiometabolic,ANXA4,P09525,2,69644425,69827112,1:10,0.07%,8.34,0.60%,0.077681
ANXA5:P08758:OID20810:v1,OID20810,ANXA5,Neurology,ANXA5,P08758,4,121667946,121696995,1:01,84.14%,7.4,0.42%,0.006294
AOC1:P19801:OID20452:v1,OID20452,AOC1,Inflammation,AOC1,P19801,7,150824627,150861504,1:01,88.99%,8.1,0.00%,0.004136
AOC3:Q16853:OID20389:v1,OID20389,AOC3,Cardiometabolic,AOC3,Q16853,17,42851184,42858130,0.736111111,0.04%,4.3,0.15%,0.004457
AP1G2:O75843:OID31348:v1,OID31348,AP1G2,Oncology_II,AP1G2,O75843,14,23559565,23568070,1:01,0.22%,7.59,0.00%,0.085872
AP2B1:P63010:OID30949:v1,OID30949,AP2B1,Neurology_II,AP2B1,P63010,17,35578046,35726413,1:01,44.82%,8.79,0.00%,0.040368
AP3B1:O00203:OID31478:v1,OID31478,AP3B1,Oncology_II,AP3B1,O00203,5,78000522,78294762,1:01,0.14%,8.85,0.00%,0.082661
AP3S2:P59780:OID31117:v1,OID31117,AP3S2,Neurology_II,AP3S2,P59780,15,89830599,89894638,1:01,40.95%,6.93,0.00%,0.065493
APBB1IP:Q7Z5R6:OID21359:v1,OID21359,APBB1IP,Oncology,APBB1IP,Q7Z5R6,10,26438341,26567803,1:01,0.09%,7.37,0.00%,0.048946
APCS:P02743:OID30778:v1,OID30778,APCS,Inflammation_II,APCS,P02743,1,159587826,159588865,1:100000,0.07%,4.51,0.75%,0.00525
APEX1:P27695:OID21434:v1,OID21434,APEX1,Oncology,APEX1,P27695,14,20455191,20457772,1:01,0.03%,4.19,0.30%,0.063808
APLP1:P51693:OID20164:v1,OID20164,APLP1,Cardiometabolic,APLP1,P51693,19,35867899,35879792,1:10,0.06%,10.95,0.15%,0.019546
APOA1:P02647:OID30769:v1,OID30769,APOA1,Inflammation_II,APOA1,P02647,11,116835751,116837622,1:100000,0.08%,5.7,0.00%,0.009749
APOA2:P02652:OID30686:v1,OID30686,APOA2,Inflammation_II,APOA2,P02652,1,161222292,161223631,0.736111111,0.27%,13.87,0.00%,0.006417
APOA4:P06727:OID30733:v1,OID30733,APOA4,Inflammation_II,APOA4,P06727,11,116820700,116823304,1:100000,0.10%,5.34,0.00%,0.005759
APOB:P04114:OID30673:v1,OID30673,APOB,Inflammation_II,APOB,P04114,2,21001429,21044073,0.736111111,82.84%,4.63,0.00%,0.008022
APOBR:Q0VD83:OID30246:v1,OID30246,APOBR,Cardiometabolic_II,APOBR,Q0VD83,16,28494643,28498964,1:01,0.02%,6.69,0.00%,0.0045
APOC1:P02654:OID30749:v1,OID30749,APOC1,Inflammation_II,APOC1,P02654,19,44914247,44919349,1:100000,0.07%,6.1,0.15%,0.006862
APOD:P05090:OID30746:v1,OID30746,APOD,Inflammation_II,APOD,P05090,3,195568705,195584033,1:100000,0.55%,5.36,3.60%,0.005665
APOE:P02649:OID30727:v1,OID30727,APOE,Inflammation_II,APOE,P02649,19,44905791,44909393,1:100000,0.11%,7.71,0.00%,0.006853
APOF:Q13790:OID30701:v1,OID30701,APOF,Inflammation_II,APOF,Q13790,12,56360568,56362857,0.736111111,0.07%,3.26,0.00%,0.005061
APOH:P02749:OID21072:v1,OID21072,APOH,Neurology,APOH,P02749,17,66212033,66256525,0.111111111,0.04%,7.59,0.00%,0.041883
APOL1:O14791:OID30708:v1,OID30708,APOL1,Inflammation_II,APOL1,O14791,22,36253071,36267530,0.736111111,0.07%,6.02,0.00%,0.014616
APOM:O95445:OID20374:v1,OID20374,APOM,Cardiometabolic,APOM,O95445,6,31652416,31658210,0.736111111,0.04%,5.47,0.30%,0.005634
APP:P05067:OID21070:v1,OID21070,APP,Neurology,APP,P05067,21,25880550,26171128,0.111111111,0.31%,7.21,0.15%,0.014952
APPL2:Q8NEU8:OID30590:v1,OID30590,APPL2,Inflammation_II,APPL2,Q8NEU8,12,105173297,105236203,1:10,0.11%,8.54,0.00%,0.096524
APRT:P07741:OID20927:v1,OID20927,APRT,Neurology,APRT,P07741,16,88809339,88811937,1:01,0.02%,5.5,0.15%,0.085859
ARAF:P10398:OID31260:v1,OID31260,ARAF,Oncology_II,ARAF,P10398,X,47561205,47571908,1:01,16.02%,9.9,0.00%,0.03988
AREG:P15514:OID21357:v1,OID21357,AREG,Oncology,AREG,P15514,4,74445136,74455005,1:01,0.04%,6.01,0.00%,0.002499
ARF6:P62330:OID31523:v1,OID31523,ARF6,Oncology_II,ARF6,P62330,14,49893079,49897054,1:01,0.23%,9.11,0.00%,0.054592
ARFIP1:P53367:OID31024:v1,OID31024,ARFIP1,Neurology_II,ARFIP1,P53367,4,152779937,152918463,1:01,13.43%,10.54,0.00%,0.067224
ARG1:P05089:OID21445:v1,OID21445,ARG1,Oncology,ARG1,P05089,6,131470832,131584332,1:01,1.18%,3.41,1.50%,0.071307
